"x","tan(x)"
0.062832,0.062915
0.125664,0.126329
0.188496,0.19076
0.251327,0.256756
0.314159,0.32492
0.376991,0.395928
0.439823,0.470564
0.502655,0.549755
0.565487,0.634619
0.628319,0.726543
0.69115,0.827272
0.753982,0.939063
0.816814,1.064892
0.879646,1.208792
0.942478,1.376382
1.00531,1.575748
1.068142,1.818993
1.130973,2.125108
1.193805,2.525712
1.256637,3.077684
1.319469,3.894743
1.382301,5.242184
1.445133,7.915815
1.507964,15.894544
1.570796,557135390.711283
1.633628,-15.894545
1.69646,-7.915815
1.759292,-5.242184
1.822124,-3.894743
1.884956,-3.077684
1.947787,-2.525712
2.010619,-2.125108
2.073451,-1.818993
2.136283,-1.575748
2.199115,-1.376382
2.261947,-1.208792
2.324779,-1.064892
2.38761,-0.939063
2.450442,-0.827272
2.513274,-0.726543
2.576106,-0.634619
2.638938,-0.549755
2.70177,-0.470564
2.764602,-0.395928
2.827433,-0.32492
2.890265,-0.256756
2.953097,-0.19076
3.015929,-0.126329
3.078761,-0.062915
3.141593,0
3.204425,0.062915
3.267256,0.126329
3.330088,0.19076
3.39292,0.256756
3.455752,0.32492
3.518584,0.395928
3.581416,0.470564
3.644247,0.549755
3.707079,0.634619
3.769911,0.726543
3.832743,0.827272
3.895575,0.939062
3.958407,1.064892
4.021239,1.208792
4.08407,1.376382
4.146902,1.575748
4.209734,1.818993
4.272566,2.125108
4.335398,2.525712
4.39823,3.077683
4.461062,3.894743
4.523893,5.242183
4.586725,7.915815
4.649557,15.894543
4.712389,557135390.711283
4.775221,-15.894546
4.838053,-7.915815
4.900885,-5.242184
4.963716,-3.894743
5.026548,-3.077684
5.08938,-2.525712
5.152212,-2.125108
5.215044,-1.818993
5.277876,-1.575748
5.340708,-1.376382
5.403539,-1.208792
5.466371,-1.064892
5.529203,-0.939063
5.592035,-0.827272
5.654867,-0.726543
5.717699,-0.634619
5.78053,-0.549755
5.843362,-0.470564
5.906194,-0.395928
5.969026,-0.32492
6.031858,-0.256756
6.09469,-0.19076
6.157522,-0.126329
6.220353,-0.062915
6.283185,0
